药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
白鹤藤根,中药,为旋花科植物白鹤藤的根。Argyreia acuta Lour。全年或秋季采挖，洗净，切片，晒干。,白膏药根,涩甘；平。归肾经,祛风湿；舒筋络。主风湿痹痛；跌打损伤
百合子,中药,为百合科植物百合等的种子。1.Lilium brownii F. E.Brown ex Miellezvar.viridulum Baker[L.browniiF.E.Brownex Miellez var.colchesteri(Van Houtt.)Wils.ex Elwes ] 2.Lilium lancifolium Thunb. [L.tigrinum Ker-Gawl.] 3.Lili,参考原文,甘；苦；凉。归大肠经,清热凉血。主肠风下血
白花菜,中药,为白花菜科植物白花菜的全草。Cleome gynandra L.[Gynandropsis pentaphylla（L.）Briq.]。夏季采收全草，鲜用或晒干。,羊角菜;屡析草;臭花菜;臭豆角;猪屎草;五梅草;白花仔草。,辛；甘；平。归肝；脾经,祛风除湿；清热解毒。主风湿痹痛；跌打损伤；淋浊；白带；疟疾；痢疾；痔疮；蛇虫咬伤
白花菜子,中药,为白花菜科植物白花菜CleomegynandraL.的种子。Cleome gynandra L。7-9月当角果黄白色略干，种子呈黑褐色时，分批采收，以防脱落。,臭花菜籽。,苦；辛；温；小毒。归心；脾经,祛风散寒；活血止痛。主风寒筋骨麻木；肩背酸痛；腰痛；腿寒；外伤瘀肿疼痛；骨结核；痔疮漏管
白花草,中药,为兰科植物鹅毛玉凤花的茎叶。Habenaria dentata (Sw.)Schltr.[Orchis dentata Sw.; Platanthera dentata (Sw.)Lindl.]。夏季采收，洗净，晒干。,参考原文,味甘；微苦；性平。,清热利湿。主热淋
白花穿心莲,中药,为爵床科植物须药草的全草。Andrographis laxiflora (BI.) Lindau [A.tenera (Nees) O. Kuntze; Haplanthus tenera Nees]。秋、冬季采收，晒干。,参考原文,味辛；苦；性凉。,散风热；宣肺气；调肠胃。主感冒发热；肺热咳喘；呕吐；泄泻
白花丹,中药;傣药;苗药;维吾尔药,为白花丹科植物白花丹的全草或根。Plumbago zeylanica L。全年均可采，切段晒干或鲜用。,山坡苓;假茉莉;总管;干里及;鸟面马;白雪花;野苜莉;隔布草;千槟榔;照药;天槟榔;白皂药;白花皂药;一见消;白花岩陀;白花九股牛;余笑花;白花铁罗汉;火灵丹;猛老虎;柄碧拍;比比蒿（傣药名）;安那娃（苗药名）;谢提然吉印地;比合白然德《拜地依药书》;其台《药物之园》;谢提然吉（维吾尔药名）,辛；苦；涩；性湿；有毒。,祛风除湿；行气活血；解毒消肿。主风湿痹痛；心胃气痛；肝脾肿大；血瘀经闭；跌打扭伤；痈肿瘰疬；疥癣瘙痒；毒蛇咬伤
白花丁香,中药,为木犀科植物白花欧丁香的根。Syringa vulgarisL.f.alba(Weston)Vass.[S.vulgaris L.var.alba Weston]。夏季采挖，洗净，切片晒干。,参考原文,苦；性寒。归心经,清心安神。主心烦失眠；头痛健忘
白花鹅掌柴,中药,为五加科植物白花鹅掌柴的根或茎、叶。Scheffter leacantha Vig.[Schef-flera kwangsiensis Merr.ex Li]。全年可采，洗净，鲜用或晒干。,汉桃叶;广西鹅掌柴;七叶莲;七多,味微苦；涩；性温。,祛风止痛；舒筋活络。主风湿痹痛；坐骨神经痛；偏正头痛；三叉神经痛；脘腹疼痛；痛经；跌打肿痛；骨折
白花鬼针草,中药,为菊科植物白花鬼针草的全草。Bidens pilosa L.var .radiata Sch.-Bip. [B. pilosa L.var .albiflora Maxim.; B.pilosa L.var .minor (Bl.) Scherff]。夏、秋季采收，切段晒干。,金杯银盏;金盏银盆;盲肠草,味甘；微苦；性平。,清热解毒；利湿退黄。主感冒发热；风湿痹痛；湿热黄疸；痈肿疮疖。
白花坚荚树,中药,为忍冬科植物常绿荚蒾的叶。Viburnum semperuirens D. Doch。春、夏季采收，鲜用或晒干。,坚荚树,味苦；性寒。,活血散瘀；续伤止痛。主跌打损伤；瘀血肿痛
百花锦蛇,中药,为游蛇科动物百花锦蛇除去内脏的全体。Elaphe moellendorffi (Boettger)。夏、秋季捕捉。,白花蛇;花蛇;菊花蛇,味甘；咸；性温。归肝；肾经,搜风除湿；通经活络；止痛定惊。主中风半身不遂；口眼斜；筋脉拘急；风湿疼痛；肌肤单板机木不仁麻风疥癣；小儿惊风；破伤风
白花九里明,中药,为菊科植物假东风草的全草。Blumea riparia (Bl.) DC. [Conyzarparia Bl.; B.chinensis (L) DC.; B.pubigera (L.) Merr.]。夏、秋季采收，鲜用或切段晒干。,白花;青羊藤;六月零;千里光;九里明;管芽,味微苦；性微温。,祛风除湿；散瘀止血。主风温痹痛；血瘀崩漏；跌打肿痛；痈疖疥疮
白花射干,中药,为鸢尾科植物野鸢尾的根茎或全草。Iris dichotoma Pall。春季采收全草，秋季采收根茎，鲜用或切段晒干。,参考原文,苦；辛；寒；有小毒。归肺；胃；肝经,清热解毒；活血消肿；止痛止咳。主咽喉、牙龈肿痛；痄腮；乳痈；胃痛；肝炎；肝脾肿大；肺热咳喘；跌打损伤；水田性皮炎
白花蛇目睛,中药,为蝰科动物尖吻腹的眼睛。Agkistrodon acutus(Gunther)。宰杀蕲蛇后，取眼睛，晒干。,参考原文,味甘；咸；性平。归肝；脾经,疏风定惊。主小儿夜啼
白花蛇头,中药,为蝰科动物尖吻蝮的头部。Agkistrodon acutus (Gunther)。宰杀蕲蛇时，取其头部，晒干。,五步蛇,味甘；咸；性温；有毒。归肝；脾经,祛风；定惊。主小儿惊风；紫癜风；疥癣；麻风
白花藤,中药,为豆科植物滇桂崖豆藤的根和藤、叶。Millettia bonatiana Pamp。全年均可采收，叶鲜用；根、藤，洗净，切片晒干。,大发汗;白藤;大豆毛;断肠叶;活血大力王。,辛；苦；性温；有毒。归肝经,祛风除湿；活血止血。主风寒感冒；类风湿关节炎；跌打损伤；闭经；外伤出血
白花甜蜜蜜,中药,为唇形科植物异叶青兰的全草。Dracocephalum hetetopyllum Benth。6-7月开花时采收，除去残叶败枝，以木棒将茎砸扁，晾干。,白花夏枯草;白甜蜜蜜;蜜罐罐,味苦；辛；性寒。,清肝；散结；止咳。主高血压；淋巴结结核；淋巴结炎；甲状腺肿大；支气管炎；口腔溃疡
白花苋,中药,为苋科植物白花苋的根或花。,烂脚蒿;白牛膝;土牛膝;怀牛膝,辛；性微寒。,活血散瘀；清热除湿。主月经不调；血瘀崩漏；经闭；跌打损伤；风湿关节痛；湿热黄疸；痢疾；角膜云翳
白花映山红,中药,为杜鹃花科植物白花杜鹃的花、根或茎叶。Rhododendron mucronatum （Bl.） G·Den[R．Ledifolium G.Don;R.argyi Levl．」。4月采花，9～10月挖根，鲜用或晒干。,白映山红;白艳山红,辛;甘;性温。,和血；散瘀；止咳。主吐血；便血；痢疾；崩漏；咳嗽；跌打损伤
白花猪母菜,中药,"为玄参科植物假马齿苋的全草。Bacopa monnieri(L.) Wettst。夏、秋季采收,切段晒干。",蛇鳞菜;白线草,味微甘；淡；性寒。,清热凉血；解毒消肿。主痢疾；目赤肿痛；痔疮肿痛；象皮肿
败火草,中药,为木犀科植物矮探春的叶。Jasminum humile L。夏、秋季采收，鲜用或晒干。,小黄馨;常春小黄馨;火炮子,苦；甘；微涩；性凉。,清热解毒。主烧烫伤；热毒疮疡
败酱,中药,为败酱科植物黄花败酱和白花败酱的全草。1.Patrinia scabiosaefolia Fisch. Ex Trev.2.Parinia uillosa (Thunb.) Juss.[Valeriana uillosa Thunb.]。野生者夏、秋季采挖，栽培者可在当年开花前采收。,鹿肠;鹿首;马草;泽败;鹿酱;酸益;败酱草;苦菜;野苦菜；苦斋公；豆豇草；豆渣草；观音菜；白苦爹;苦苴;苦叶菜;萌菜;女郎花,味辛；苦；性微寒。归肋；大肠；肝经,清热解毒；活血排脓。主肠痈；肺痈；痈肿；痢疾；产后瘀滞腹痛
白僵蚕,中药,为蚕蛾科动物家蚕蛾幼虫感染白僵菌而僵死的全虫。Beauveria bassiana(Bals.) Vaillant。过去收集的僵蚕，均为自然病死者。,僵蚕;天虫;僵虫;白僵虫,味辛；咸；性平。归肝；肺；胃经,祛风止痉；化痰散结；解毒利咽。主惊痫抽搐；中风口眼斜；偏正头痛；咽喉肿痛；瘰疬；痄腮；风疹；疮毒
白芥,中药,为十字花科植物白芥的嫩茎叶。Sinapis alba L。春、秋季采摘嫩茎叶，鲜用，或晒干。,胡芥;蜀芥;辣菜;白辣菜。,辛；温。归肺经,温中散寒；利气化痰。主脘腹冷痛；咳嗽痰喘
白接骨,中药,为爵床科植物白接骨的全草。Asystaiella chinensis (S.Moor) E.Hossain [Ssystasia chinensis S.Moore; Asystosiella neesiana auct.non (Wall) Lindau]。夏、秋季采收，晒干或鲜用。,玉龙盘;无骨苎麻;玉梗半枝莲;玉接骨;血见愁;玉钱草;麒麟草;玉连环;接骨丹;接骨草;猢狲节根;金不换;橡皮草;华阿西达;小阿西达;蛀木虫,味苦；淡；性凉。归肺经,化瘀止血；续筋接骨；利尿消肿；清热解毒。主吐血；便血；外伤出血；跌打瘀肿；扭伤骨折；风湿肢肿；腹水；疮疡溃烂；疖；肿；咽喉肿痛
百解马兜铃,中药,为马兜铃科植物香港马兜铃的根。AristolochiawestlandiiHemsl。夏、秋季采，洗净，切片，晒干。,白金果榄;山总管;百解薯。,苦；寒。,祛风利尿；清热解毒。主水肿；淋病；风湿痹痛；脚气湿肿；肠炎；痢疾；腮腺炎；乳腺炎；过敏性皮炎
百解藤,中药,为防己科植物粉叶轮环藤的根或藤茎。Cyclea hypoglauca(Schauer)Diels。全年均可采收，去须根或枝叶，洗净，切段，晒干。,金线风;凉粉藤;寄山龙;山豆根;青藤仔;蛤仔藤;金锁匙;独脚乌柏。,苦；寒。归肺；大肠；肝经,清热解毒；祛风止痛；利水通淋。主风热感冒；咳嗽；咽喉肿痛；白喉；风火牙痛；肠炎；痢疾；尿路感染及尿路结石；风湿疼痛；疮疡肿毒；毒蛇咬伤
白芥子,中药;维吾尔药;藏药,为十字花科植物白芥SinapisalbaL.的种子。Sinapis alba L。春播于7-8月采收，秋播于5月中、下旬采收，待果实大部分出现黄色时割下全株，后熟数日，选晴天晒干，脱出子粒，簸除杂质即可入药，每1hm2产7500kg左右。,辣菜子;刺袜《回回药方三十六卷》;海尔代鲁力艾比也孜;拉依赛非德《药物之园》;阿克可查（维吾尔药名）,辛；温。归肺；肝；脾；胃；心包经,化痰逐饮；散结消肿。主咳喘痰多；胸满胁痛；肢体麻木；关节肿痛；湿痰流注；阴疽肿毒
白金果榄,中药,为马兜铃科植物变色马兜铃的块根。Aristolochia versicolor S．M.Hwang。夏、秋、冬季采挖，洗净，切段，晒干。,参考原文,苦；寒。,清热解毒；消肿止痛。主肠炎腹泻；菌痢；咽喉肿痛；腮腺炎；瘰疬；乳痈；湿疹
白鸡屎藤,中药,"为葡萄科植物白粉藤Cissusrepens(WightetArn,)Lam.的茎藤。Cissus repens (Wight et Arn.)Lam.[Vitis repens Wight et Arn.]。秋季割取茎藤，切段，晒干或鲜用。",飞龙接骨;青龙跌打。,苦；寒。归脾；肝；胆经,清热利湿；解毒消肿。主湿热痢疾；痈肿疔疮；湿疹瘙痒；毒蛇咬伤
白暨豚,中药,为淡水豚科白暨豚的脂肪。Lipotes Vexillifer Miller。白暨豚的脂肪入药，捕杀后，杀死取其脂肪，用小火将油炼出，放凉后呈膏状。,白旗;白鳍;白鳍豚;白江猪,苦；咸；寒。归心；肺经,镇咳；清热解毒。主咳嗽；烧、烫伤等症
白九股牛,中药,为五加科植物丛枝楤木的根。Aralia melanocarpa (Levl.)Lauener[Eleutherococcus metanocarpa Levl.;A. dumetorum Hand.-Mazz.]。秋、冬季采挖，洗净，鲜用或切片晒干。,九股牛;松皮九股牛;牛尾独活;蜜油参;牛角七,味辛；微甘；性平。,补中益气；托毒消肿。主气虚头晕；耳鸣；慢性淋巴腺炎；疮痈久不溃；慢性化脓性骨髓炎
白鸡肫,中药,为卫矛科植物矩圆叶卫矛的根和果。Euonymus oblongifolius Loes.et Rehd。根，全年均可采，洗净，切片，晒干；果实，成熟时采收，晒干。,参考原文,苦；涩；寒；有小毒。,凉血止血。主血热鼻衄
白苣,中药,为菊科植物生菜的茎、叶。Lactuca satiua L.var .romana Hort。春、夏季采收，洗净，切片或切碎，鲜用。,石苣;千层剥,味苦；甘；性寒。归胃经,清热解毒；止渴。主热毒疮肿；口渴
白克马叶,中药,为安息香科植物垂珠花的叶。Styrax dasyanthus Perk。夏、秋季采叶，晒干。,参考原文,甘；苦；性微寒。归肺；大肠经,润肺；生津；止咳。主肺燥咳嗽；干咳无痰；口燥咽干
白蔻,中药,为姜科植物滑叶山姜的果实。AIpiniatonkinensisGagnep。果实将熟时采收，烘干或阴干。,参考原文,味辛；性温。,行气开胃。主胃脘疼痛；消化不良
白辣蓼,中药,为蓼科植物长鬃蓼的全草。Polygonum longisetum De Bruyn［P.caespitosum B1.var.longisetum(De Bruyn)Sieward；P.blumei Meissn.ex Miq.］。夏、秋间采收，晾干。,蓼子草;马蓼;假长尾叶蓼;假长尾蓼;山蓼,辛；性温。归肝；胃；大肠经,解毒；除湿。主肠炎；菌痢；无名肿毒；阴疳；瘰疬；毒蛇咬伤；风湿痹痛
白蓝翠雀花,中药;藏药,为毛茛科植物白蓝翠雀花的全草。Delphinium albocoeruleum Maxim.[D.tanguticum Huth;D.albocoeruleum Maxim.var.pumilum Huth]。夏季采收，除去杂质，阴干。,参考原文,苦；寒。归胃；大肠经,清热燥湿。主痢疾；肠炎
白郎花,中药,为椴树科植物峨眉椴的根皮。Tilia omeiensis Fang。夏、秋季挖根，洗净泥土，剥取根皮，切段晒干。,参考原文,味苦；辛；性凉。,行气活血。主跌打损伤；五劳七伤
白榔皮,中药,为梧桐科植物绒毛苹婆的树胶。Sterculia villosa Roxb.［Sterculia lantsangensis Hu］。夏、秋季采收，割破树皮，流出汁液，凝固后取下。,色告白;榔皮树。,辛；苦；平。,祛风利湿；接骨。主风湿痹痛；水肿；小便不利；骨折
白兰花叶,中药,为木兰科植物白兰花的叶。Michelia alba DC。夏、秋采摘，洗净，鲜用或晒干备用。,参考原文,苦；辛；性平。,清热利尿；止咳化痰。主泌尿系感染；小便不利；支气管炎
白冷草,中药,为凤仙花科植物细柄凤仙花的根及根茎。Impatiens leptocaulon Hook.f。夏、秋季采挖根及根茎，洗净，鲜用或切段晒干。,痨伤药;冷水七;冷水丹;红冷草。,辛；苦；微温。,理气活血止痛。主风湿性关节炎；跌打肿痛
白簕枝叶,中药,为五加科植物白簕的嫩枝叶。Acanthopanax trifoliatus (L.)Merr。全年均可采，鲜用或晒干。,白茨叶;白勒远,味苦；辛；性微寒。,清热解毒；活血消肿；除湿敛疮。主感冒发热；咳嗽胸痛；痢疾；风湿痹痛；跌打损伤；骨折；刀伤；痈疮疔疖；口疮；湿疹；疥疮；毒虫咬伤
百两金,中药,为紫金牛科植物百两金或其变种大叶百两金、细柄百两金的根及根茎。1．Ardisia crispa （Thunb.） A.DC·［Bladhia crispa Thunb．］2．Ardisia crispa（Thunb．）A．DC．var．Am-plifolia Walker3．Ardisia crispa（Thunb．） A．DC.var．Diel－sii（Levl．）Walker。秋、冬季采挖，洗,八爪龙;山豆根;地杨梅;开喉箭;叶下藏珠;状元红;铁雨伞;真珠凉伞;野猴枣;珍珠伞;竹叶胎;蛇连天;八爪金龙;白八爪;高脚凉伞,苦；辛；性凉。,清热利咽；祛痰利湿；活血解毒。主咽喉肿痛；咳嗽咯痰不畅，湿热黄疸；小便淋痛；风湿痹痛；跌打损伤；疔疮；无名肿毒；蛇咬伤
白粱米,中药,为禾本科植物粱或粟品种之一的种仁。1.Setaria italica (L.) Beauv. [Panicum italicum L.]2.Setaria italica (L.) Beauv.var.germanica(Mill.)Schred。秋季果实成熟时收割，打下种仁，去净杂质，晒干。,白米,味甘；性微寒。归脾；胃经,益气；和中除烦止渴。主胃虚呕吐；烦渴
白蔹子,中药,为葡萄科植物白蔹Ampelopsisjaponica(Thunb.)Makino的果实。Ampelopsis japonica (Thunb.)Makino [Paullinia japonica Thunb.]。秋果果实成熟时采收，鲜用或晒干。,参考原文,苦；寒。归肝；脾经,清热；消痈。主温疟；热毒痈肿
白栎蔀,中药,为壳斗科植物白栎带有虫瘿的果实、总苞或根。Quercus fabri Hance。带虫瘿的果实及总苞，秋季采集，晒干。,白栎蒲,苦；涩；性平。,理气消积；明目解毒。主疳积；疝气；泄泻；痢疾；火眼赤痛；疮疖
白淋草,中药,为荨麻科植物长茎冷水花的全草。Pilea longicaulis Hand.-Mazz。夏、秋季采收，洗净，鲜用或晒干。,接骨风,淡；性凉。,散瘀消肿；解毒敛疮。主跌打损伤；烧烫伤
百灵草,中药,为萝藦科植物百灵草的全株。Marsdenia longipes W. T. Wang ex Tsinag et P.T.Li。全年可采，洗净切片晒干或鲜用。,小对节生;出浆藤;云百部;小爬角;小白药;小掰角,味甘、微苦、性温、有毒。归肝；肾经,祛风除湿；平喘；活血通络。主风湿痹痛；风湿性心脏病；支气管哮喘；跌打损任；骨折
